extraversion_n,extraversion_p,agreableness_n,agreableness_p,conscientiousness_n,conscientiousness_p,neuroticism_n,neuroticism_p,openness_n,openness_p
enthusiastic,seclusive,accommodating,antagonistic,orderly,disorganized,passionless,defensive,contemplative,shallow
spirited,unsociable,agreeable,argumentative,organized,haphazard,unexcitable,fretful,intellectual,unintellectual
vivacious,withdrawn,cooperative,combative,systematic,inefficient,unemotiona,insecure,introspective,unreflective
zestful,quiet,helpful,quarrelsome,concise,scatter,autonomous,negativistic,meditative,uncreative
extroverted,silent,patient,faultfinding,exacting,brained,independent,self-critical,philosophical,unimaginative
gregarious,untalkative,peaceful,harsh,efficient,scatterbrained,individualistie,self-pitying,deep,imperceptive
adventurous,detached,reasonable,unforgiving,fastidious,sloppy,relaxed,anxious,complex,unobservant
mischievous,tvserved,amiable,unsympathetic,self-discipline,unsystematic,stable,fearful,foresighted,unintelligent
playful,secretive,cordial,bossy,dependable,careless,satisfied,nervous,insightful,ignorant
rambunctious,bashful,friendly,demanding,reliable,negligent,calm,temperamental,perceptive,dull
communicative,shy,genial,domineering,responsible,undependable,safe,touchy,bright,curiosity
expressive,timid,pleasant,manipulative,meticulous,unconscientious,,unstable,intelligent,thinking
verba,inhibited,considerate,abusive,peffectionistic,unreliable,reliable,envious,smart,creativity
carefree,restrained,kind,disrespectful,precise,erratic,easy-going,jealous,artistic,sophistication
happy-go-lucky,unadventurous,sympathetic,impolite,industrious,inconsistent,patient,gullible,creative,ignorance
spontaneous,unaggressive,trustful,impudent,persistent,unpredictable,rational,naive,imaginative,old-fashioned
impetuous,uncompetitive,understanding,rude,thorough,forgetful,peaceful,suggestible,innovative,simple
uninhibited,docile,lenient,scornful,careful,absent-minded,indifferent,intrusive,inventive,shallow
unrestrained,passive,uncritical,cruel,cautious,foolhardy,strong,meddlesome,curious,conservative
active,submissive,undemanding,ruthless,prompt,rash,steady,nosey,inquisitive,boring
energetic,lethargic,courteous,vindictive,punctual,reckless,unhelpful,unstable,cosmopolitan,stubborn
vigorous,sluggish,diplomatm,condescending, decisive,aimless,melancholy,dissatisfied,cultured,submissive
talkative,bitter,pohte,pompous,deliberate,unambitious,tough,irritable,refined,practical
verbose,joyless,respectful,smug,firm,slothfu,rugged,restless,sophisticated,rational
wordy,melancholic,tactful,snobbish,purposeful,lazy,unflinching ,anxious,worldly,traditional
assertive,moody,benevolent,crabby,dignified,indecisive,peaceful,inferior,imaginative,closed
dominant,morose,charitable,cranky,formal,wishy-washy,sedate,depressed,curious,monotonous
forceful,pessimistic,generous,irritable,mannerly,frivolous,wordless,desperate,thoughtful,ignorant
demonstrative,sombe,adaptable,grumpy,consistent,impractical,resourceful,vulnerable,creative,narrow 
exhibitionistic,withdrawn,flexible,boastful,predictable,extravagant,independen,jealous,worldly,illogica
flamboyant,timid,obligin,conceited,thrifty,nonconforming,confident,sensitive,exploratory,
brave,silent,humble,egocentric,steady,rebellious,stern,restless,smart,
courageous,conservative,modest,egotistical,economical,unconventional,cold,angry,aesthetic,
daring,shy,selfless,vain,conventional,unreliable,insensitive,guilty,intelligent,
assured,introverted,unassuming,boastful,traditional,unrealistic,ruthless,oversensitive,elegant,
confident,reticent,ethical,conceited,logical,lazy,terse ,whiny,introspective,
proud,old-fashioned,honest,egocentric,analytical,disorganized,curt,careworn,adventurous,
direct,aloof,moral,egotistical,reliable,careless,explicit,touchy,diverse,
frank,cold ,principled,vain,practical,hasty,blunt,unstable,deep,
straightforward,silent,sincere,bullheaded,diligent,casual,frank,fussy,complex,
humorous,serious,truthful,obstinate,orderly,careless,,nervous,philosophica,
witty,introverted,affectionate,stubborn,self-disciplined,changeable,,fearful,intelligent,
ambitious,reserved,compassionate,cynical,prudent,inefficient,,unpoised,curious,
enterprising,lethargic,sentimental,distrustful,fair,evasive,,self-critical,creative,
opportunistic,vigorless,warm,skeptical,organized,impulsive,,unconfident,clever,
cheerful,apathetic ,down-to-earth,suspicious,conscientious,reckless,,wary,insightful,
jovial,cool,earthy,greedy,serious,chaotic,,unventurous,certain,
merry,aloof,folksy,selfish,neat,perfunctory,,timid,logical,
optimistic,distant,homespun,self-indulgent,prudent,sloppy,,cowardly,perceptive,
outgoing,unsocial,simple,cold,restrained,forgetful,, pliant,alert,
bold,withdrawn,casual,impersonal,careful,disorderly,,submissive,intellectual,
talkative,quiet,easygoing,insensitive,self-control,rash,,dependent,studious,
energetic,secretive,informal,caustic,efficient,capricious,,docile,literate,
confident,untalkative,natural,curt,enterprising,careless,,childlike,informed,
active,indirect,relaxed,flippant,diligent,lazy,,superstitious,meditative,
frank ,humble,enthusiastic,gruff,hardworking,forgetful,,gullible,thoughtful,
talkative,modest,kind,surly,reliable,messy,,naive,pensive,
active,bashful,cooperative,crafty,thorough,absent-minded,,,musical,
adventurous,meek,trusting,cunning,organized,fickle,,, artistic,
social ,shy,generous,devious,ambitious,erratic,,,poetic,
jolly,joyless,gentle,sly,persistent,changeable,,,literar,
merry,solemn,trusting,bigoted,tidy,cynical,,,,
witty, sober,frank,prejudiced,prim,rude,,,,
lively, morose,modest,unfriendly,earnest,impudent,,,,
peppy,moody,generous,ungracious,prudish,impolite,,,,
talkative,thoughtless,selfless,unkind,moralistic,profane,,,,
articulate,unfriendly,sincere,explosive,zealous,informal,,,,
verbose,tactless,compassionate,tempestuous,crusading,nonreligious,,,,
gossipy,,friendly,volatile,rational,practical,,,,
companionable,,trustful,miserly,conventional,earthy,,,,
social,,unsuspicious,stingy,rigid,unrefined,,,,
outgoing,,unenvious,deceitful,predictable,awkward,,,,
impulsive,,democratic,dishonest,suave,self-indulgent,,,,
carefree,,friendly,underhanded,genteel,excessive,,,,
playful,,genia,unscrupulous,dignified,thriftless,,,,
zany,,cheerful,inconsiderate,courtly,,,,,
mischievous,,generous,tactless,punctual,,,,,
rowdy,,charitable,thoughtless,prompt,,,,,
loud,,indulgent,Cold,dependable,,,,,
prankish,,lenient,unkind,conscientious,,,,,
brave,,conciliatory,uncooperative,refined,,,,,
venturous,,agreeable,suspicious,cultured,,,,,
fearles,,tolerant,harsh,urbane,,,,,
reckless,,reasonable,savage,blasé,,,,,
active,,impartial,conceited,proud,,,,,
assertive,,unbiased, paranoid,smug,,,,,
dominant,,civil,ruthless,pompous,,,,,
energetic ,,polite,suspicious,formal,,,,,
boastful,,tactful,deceiving,progressive,,,,,
conceited,,moderate,sadistic,farseeing,,,,,
egotistica,,patient,vengeful,calculating,,,,,
affected,,loyal,malicious,aimful,,,,,
vain,,unselfish,cruel,spiritual,,,,,
chic,,helpful,bitter,pious,,,,,
dapper,,sensitive,testy,devout,,,,,
jaunty,,affectionat,crabby,mystical,,,,,
nosey,,warm,sour,mature,,,,,
snoopy,,tender,surly,unvoluptuous ,,,,,
indiscree,,sentimental ,bossy,chaste,,,,,
meddlesome,,principled,critical,demure,,,,,
sexy,,just,strict,coy,,,,,
passionate,,honest,severe,unextravagant ,,,,,
sensual,,moral,catty,thrifty,,,,,
flirtatious,,,argumentative,frugal,,,,,
,,,contrary,economical,,,,,
,,,unruly,,,,,,
,,,abrasive,,,,,,
,,,belligerent,,,,,,
,,,inflexible,,,,,,
,,,opinionated,,,,,,
,,,short-tempered,,,,,,
,,,wild,,,,,,
,,,explosive,,,,,,
,,,irritable,,,,,,
